                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                  0.744,                 0.3881,                0.94109,                0.98315,                0.98081,                0.99325,                0.77856,                0.87294,                0.38376,                0.98525,             0.00059961,             0.00059961,             0.00059961
                     92,                0.75274,                0.39104,                 0.9333,                0.97621,                0.99286,                0.99372,                0.77736,                0.86258,                 0.3813,                0.98277,             0.00059771,             0.00059771,             0.00059771
                     93,                0.72665,                0.39716,                 0.9286,                0.97811,                0.98829,                0.99344,                 0.7832,                0.86914,                 0.3786,                0.98132,              0.0005958,              0.0005958,              0.0005958
                     94,                0.74249,                0.39421,                0.93326,                0.98293,                0.98669,                0.99359,                0.77711,                0.87879,                0.37187,                 0.9934,              0.0005939,              0.0005939,              0.0005939
                     95,                 0.7456,                0.39051,                0.93453,                0.97775,                0.98902,                0.99358,                0.78264,                0.85703,                0.37543,                0.97821,               0.000592,               0.000592,               0.000592
                     96,                0.75615,                0.40476,                0.93748,                0.96445,                 0.9852,                0.98782,                0.76875,                0.87803,                0.41899,                0.98509,             0.00059009,             0.00059009,             0.00059009
                     97,                0.74454,                0.40156,                0.92428,                0.96528,                0.99281,                0.99154,                0.77608,                0.88109,                0.40321,                0.98734,             0.00058819,             0.00058819,             0.00058819
                     98,                0.75301,                0.39611,                0.93337,                0.98083,                0.98078,                0.99345,                0.78531,                0.86961,                0.37686,                0.97871,             0.00058629,             0.00058629,             0.00058629
                     99,                  0.737,                0.38532,                0.93282,                0.96741,                0.99171,                0.99351,                0.78303,                0.85453,                0.37697,                0.97644,             0.00058438,             0.00058438,             0.00058438
                    100,                0.74048,                0.38487,                0.92828,                0.98001,                0.97988,                0.99332,                0.77791,                0.84309,                0.37907,                0.97077,             0.00058248,             0.00058248,             0.00058248
                    101,                0.75702,                0.39006,                0.93675,                0.98649,                0.97778,                0.99388,                0.77904,                0.85712,                0.37602,                0.97281,             0.00058058,             0.00058058,             0.00058058
                    102,                0.73075,                 0.3835,                0.92267,                0.97435,                0.98056,                0.99333,                0.78947,                0.85201,                 0.3774,                0.97675,             0.00057867,             0.00057867,             0.00057867
                    103,                0.73265,                0.38553,                0.92898,                0.97411,                0.98924,                0.99376,                0.78913,                0.84777,                0.37209,                0.98044,             0.00057677,             0.00057677,             0.00057677
                    104,                0.72396,                 0.3739,                0.93297,                0.97989,                0.98364,                0.99282,                0.77699,                0.86852,                0.37803,                0.98356,             0.00057487,             0.00057487,             0.00057487
                    105,                0.73957,                0.38058,                 0.9291,                0.98283,                 0.9892,                0.99286,                0.78252,                0.85869,                0.36496,                0.98009,             0.00057296,             0.00057296,             0.00057296
                    106,                0.72682,                0.37655,                0.91989,                0.98669,                0.98354,                 0.9936,                0.77973,                  0.866,                 0.3741,                0.97939,             0.00057106,             0.00057106,             0.00057106
                    107,                0.72709,                0.38481,                0.93114,                 0.9854,                0.98973,                0.99354,                 0.7809,                 0.8564,                0.36382,                 0.9735,             0.00056916,             0.00056916,             0.00056916
                    108,                0.73576,                0.38395,                0.92462,                0.98721,                0.99042,                0.99361,                0.78724,                0.84853,                0.36803,                0.97894,             0.00056725,             0.00056725,             0.00056725
